skill_name,skill_id
成本控制,1
产品知识,2
审查意见答复,3
模拟电路,4
专利申请文件撰写,5
销售管理,6
TCP/IP,7
量具使用,8
Facebook广告投放,9
供应商开发,10
STL,11
档案整理,12
质量检验,13
KA渠道管理,14
网络编程,15
法律文件审核,16
保险专业知识,17
指标监控与分析,18
MyBatis,19
分析判断,20
自动化测试,21
大部件更换协助,22
试运行,23
测试环境搭建,24
钻展,25
招标文件编制,26
法律咨询,27
Excel,28
技术改造,29
Webpack,30
合同起草,31
人才库维护,32
渠道管理,33
数据录入,34
数据建模,35
故障分析,36
设计测试用例,37
口译,38
方言能力（粤语、潮汕话、客家话、闽南语）,39
市场营销,40
多线程,41
万用表,42
算法,43
项目管理,44
MySQL,45
销售,46
京东快车、京挑客、京东展位的投放和优化,47
故障消除,48
项目申报,49
功能测试,50
游戏产品知识,51
市场知识,52
用户研究,53
薪酬数据分析,54
考勤核对,55
团队合作精神,56
设计模式,57
竞争分析,58
Git,59
日语听说读写流利,60
客户服务,61
诉讼代理,62
文案撰写,63
文件起草,64
档案鉴定,65
可靠性测试,66
定检定维,67
物联网,68
服务器,69
连锁经营管理,70
售前技术支持,71
奖惩管理,72
短视频推广,73
统计,74
产品运营,75
理化检测,76
自动化测试工具,77
在线客服,78
专利分析,79
熟悉SQL语句,80
跨境电商平台精通,81
利润管理,82
审查诉讼材料,83
档案数字化加工,84
组织架构设计,85
Vite,86
课件制作,87
合同管理,88
Vue,89
数据可视化,90
档案管理系统维护,91
生物信息学,92
淘宝平台规则,93
劳动法律法规,94
海外市场推广,95
游戏陪玩,96
保全服务,97
FMEA,98
产品设计,99
亚马逊运营,100
法律风险评估,101
数据统计与分析,102
方法验证,103
ERP系统操作,104
CAD,105
MES实施或运维,106
招聘数据分析,107
站内外推广,108
招投标流程,109
人事信息管理,110
网络设备安装调试,111
英语翻译,112
熟悉sqlserver,113
销售计划制定,114
薪酬福利管理,115
数据整理,116
风机巡检,117
合规管理,118
编辑加工,119
合同审查,120
ArcGIS,121
CSS3,122
师资管理,123
销售团队管理,124
天猫平台规则,125
非诉业务,126
房产交易服务,127
舆情监控,128
标书制作,129
社群运营,130
人力资源数据分析,131
营销策划,132
人才寻访,133
网络营销,134
销售策略,135
招聘方案制定,136
用户调研,137
工程软件,138
网络推广,139
英语文书创作,140
百度推广,141
招投标,142
ES6,143
日语口语流利,144
Visio,145
会议组织,146
数据管理,147
劳动关系确认,148
电气系统检查,149
仲裁,150
C++,151
谈判能力,152
培训需求分析,153
Ajax,154
电话销售,155
SQL,156
招聘渠道管理,157
打字,158
培训体系建立,159
普通话标准,160
背景调查,161
市场拓展,162
敬语,163
企业管理优化流程,164
文献检索,165
驾驶,166
法语,167
招聘,168
员工关系管理,169
HTML5,170
Java,171
FBA物流,172
销售数据统计,173
员工入职离职管理,174
采购流程熟悉,175
平台政策熟悉,176
危化安全生产,177
营销推广,178
Spring Boot,179
客户开发,180
店铺促销活动、关联销售等的策划,181
签证申请,182
平面设计,183
市场调研,184
法律逻辑思维,185
数据分析能力,186
活动企划,187
QC七大手法,188
SPSS,189
搜索引擎优化,190
销售策略制定,191
市场开拓,192
档案分类整理,193
IATF16949,194
信息审核,195
CAD制图,196
需求分析,197
交易风险监控,198
库存周转,199
市场调研与分析,200
商务日语,201
案例分析,202
淘宝客,203
专利复审,204
QT,205
财务管理,206
内容敏感度,207
诉讼仲裁处理,208
办公软件操作,209
新产品开发计划拟定,210
培训计划制定,211
公众号运营,212
市场数据分析,213
采样,214
客户需求分析,215
机器学习,216
编制测试报告,217
Linux,218
课程开发,219
Amazon平台产品开发,220
材料学,221
经销商管理,222
数字电路,223
渠道销售策略,224
内容运营,225
标准操作规程编写,226
专利检索分析,227
风机运行性能优化,228
Robot Framework,229
京东平台规则,230
档案管理,231
数据测试,232
TypeScript,233
逻辑分析,234
分析测试数据,235
SPC,236
文书撰写能力,237
焊接,238
信息系统实施或运维管理,239
软硬件联合调试,240
日语精通,241
运营方案制定与优化,242
小红书运营,243
游戏推广,244
ERP维护,245
EXCEL表格,246
熟悉oracle,247
商务礼仪,248
客户关系维护,249
沟通协调,250
客户抗压能力,251
客户资源管理,252
呼叫中心管理,253
数据结构,254
性能测试,255
在线打字,256
广告投放方案制定,257
软件使用培训,258
档案数字化,259
微信公众号运营,260
超级推荐,261
电脑操作,262
设备管理,263
专利审查,264
定期巡检,265
PPT制作,266
AutoCAD,267
测试用例编写,268
中英文互译,269
合同审核,270
薪酬谈判,271
客户管理,272
政治嗅觉,273
